Inn,Score,atBat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom 7,3-6,CLE,Jason Kipnis,Jon Lester,3,92,Strikeout Swinging
Top 8,6-3,CHC,Anthony Rizzo,Cody Allen,-1,91,Strikeout Swinging (C-1B)
Top 8,6-3,CHC,Ben Zobrist,Cody Allen,-1,91,Groundout: 1B unassisted
Top 8,6-3,CHC,Addison Russell,Cody Allen,0,90,Popfly: 1B
Bottom 8,3-6,CLE,Francisco Lindor,Jon Lester,3,93,Groundout: SS-1B
Bottom 8,3-6,CLE,Mike Napoli,Jon Lester,2,95,Strikeout Looking
Bottom 8,3-6,CLE,Jose Ramirez,Jon Lester,-2,94,Single to SS (Ground Ball)
Bottom 8,3-6,CLE,Brandon Guyer,Aroldis Chapman,-8,86,Double to CF (Line Drive); Ramirez Scores
Bottom 8,4-6,CLE,Rajai Davis,Aroldis Chapman,-39,47,Home Run (Line Drive); Guyer Scores
Bottom 8,6-6,CLE,Coco Crisp,Aroldis Chapman,-2,45,Single to LF (Ground Ball)
Bottom 8,6-6,CLE,Yan Gomes,Aroldis Chapman,5,50,Strikeout Swinging
Top 9,6-6,CHC,David Ross,Cody Allen,8,58,Walk
Top 9,6-6,CHC,Jason Heyward,Cody Allen,-8,50,Groundout: 2B-SS/Forceout at 2B
Top 9,6-6,CHC,Javier Baez,Bryan Shaw,17,66,Heyward Steals 2B; Heyward to 3B/Adv on E2 (throw)
Top 9,6-6,CHC,Javier Baez,Bryan Shaw,-19,48,Strikeout (foul bunt)
Top 9,6-6,CHC,Dexter Fowler,Bryan Shaw,-13,35,Groundout: SS-1B
Bottom 9,6-6,CLE,Carlos Santana,Aroldis Chapman,6,41,Flyball: LF
Bottom 9,6-6,CLE,Jason Kipnis,Aroldis Chapman,5,46,Strikeout Swinging
Bottom 9,6-6,CLE,Francisco Lindor,Aroldis Chapman,4,50,Flyball: RF
Top 10,6-6,CHC,Kyle Schwarber,Bryan Shaw,8,58,Single to RF (Line Drive)
Top 10,6-6,CHC,Kris Bryant,Bryan Shaw,-3,55,Flyball: CF; Almora to 2B
Top 10,6-6,CHC,Anthony Rizzo,Bryan Shaw,2,58,Intentional Walk
Top 10,6-6,CHC,Ben Zobrist,Bryan Shaw,31,89,Double to LF (Ground Ball); Almora Scores; Rizzo to 3B
Top 10,7-6,CHC,Addison Russell,Bryan Shaw,0,89,Intentional Walk
Top 10,7-6,CHC,Miguel Montero,Bryan Shaw,6,95,Single to LF (Ground Ball); Rizzo Scores; Zobrist to 3B; Russell to 2B
Top 10,8-6,CHC,Jason Heyward,Trevor Bauer,-3,92,Strikeout Swinging
Top 10,8-6,CHC,Javier Baez,Trevor Bauer,-3,89,Flyball: CF
Bottom 10,6-8,CLE,Mike Napoli,Carl Edwards,5,95,Strikeout Swinging
Bottom 10,6-8,CLE,Jose Ramirez,Carl Edwards,3,98,Groundout: SS-1B
Bottom 10,6-8,CLE,Brandon Guyer,Carl Edwards,-3,95,Walk
Bottom 10,6-8,CLE,Rajai Davis,Carl Edwards,0,95,Defensive Indifference; Guyer to 2B
Bottom 10,6-8,CLE,Rajai Davis,Carl Edwards,-5,89,Single to CF (Line Drive); Guyer Scores
Bottom 10,7-8,CLE,Michael Martinez,Mike Montgomery,11,100,Groundout: 3B-1B
