,Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
58,t5,5-1,2.0,-2-,"2,(0-1)?CX",O,CHC,Ben?Zobrist,Andrew?Miller,-1%,86%,Lineout: CF
61,b5,1-5,0.0,---,"2,(0-1)?CX",O,CLE,Coco?Crisp,Kyle?Hendricks,2%,88%,Groundout: 2B-1B
62,b5,1-5,1.0,---,"5,(2-2)?BCBFC",O,CLE,Roberto?Perez,Kyle?Hendricks,1%,90%,Strikeout Looking
63,b5,1-5,2.0,---,"6,(3-2)?CCBBBB",,CLE,Carlos?Santana,Kyle?Hendricks,-1%,89%,Walk
65,b5,1-5,2.0,1--,"6,(2-2)?..BCSF*BX",,CLE,Jason?Kipnis,Jon?Lester,-3%,85%,Single to C (Ground Ball); Santana to 3B/Adv on E2 (throw); Kipnis to 2B
66,b5,1-5,2.0,-23,"2,(0-1)?FB",RR,CLE,Francisco?Lindor,Jon?Lester,-10%,75%,Wild Pitch; Santana Scores/unER/No RBI; Kipnis Scores/unER/No RBI
67,b5,3-5,2.0,---,"6,(3-2)?FB.SBBS",O,CLE,Francisco?Lindor,Jon?Lester,2%,77%,Strikeout Swinging
70,t6,5-3,0.0,---,"6,(2-2)?BCSBFX",O,CHC,Addison?Russell,Andrew?Miller,-2%,75%,Foul Popfly: 1B (1B Foul)
71,t6,5-3,1.0,---,"4,(1-2)?CFBX",R,CHC,David?Ross,Andrew?Miller,9%,84%,Home Run (Fly Ball)
72,t6,6-3,1.0,---,"2,(1-0)?BX",O,CHC,Jason?Heyward,Andrew?Miller,-1%,83%,Groundout: 1B unassisted
73,t6,6-3,2.0,---,"4,(0-2)?SFFS",O,CHC,Javier?Baez,Andrew?Miller,-1%,82%,Strikeout Swinging
76,b6,3-6,0.0,---,"5,(2-2)?CBBSS",O,CLE,Mike?Napoli,Jon?Lester,3%,85%,Strikeout Swinging
77,b6,3-6,1.0,---,"5,(2-2)?BCSBX",O,CLE,Jose?Ramirez,Jon?Lester,2%,87%,Groundout: SS-1B
79,b6,3-6,2.0,---,"2,(1-0)?.BX",,CLE,Brandon?Guyer,Jon?Lester,-2%,85%,Single to LF (Line Drive)
80,b6,3-6,2.0,1--,"5,(3-1)?BCBBX",O,CLE,Rajai?Davis,Jon?Lester,3%,88%,Groundout: 2B-1B
84,t7,6-3,0.0,---,"2,(0-1)?.FX",,CHC,Dexter?Fowler,Andrew?Miller,2%,90%,Single to RF (Line Drive)
85,t7,6-3,0.0,1--,"5,(1-2)?F1T*B1F1X",O,CHC,Kyle?Schwarber,Andrew?Miller,-2%,88%,Lineout: LF
87,t7,6-3,1.0,1--,"6,(2-2)?.F1BF11F1B>S",OO,CHC,Kris?Bryant,Cody?Allen,-3%,86%,"Double Play: Strikeout Swinging, Fowler Caught Stealing 2B (C-2B)"
90,b7,3-6,0.0,---,"3,(1-1)?CBX",O,CLE,Coco?Crisp,Jon?Lester,3%,89%,Flyball: LF
91,b7,3-6,1.0,---,"7,(3-2)?CBBFBFB",,CLE,Roberto?Perez,Jon?Lester,-3%,85%,Walk
93,b7,3-6,1.0,1--,"1,(0-0)?.X",O,CLE,Carlos?Santana,Jon?Lester,3%,88%,Groundout: P-1B; Naquin to 2B
94,b7,3-6,2.0,-2-,"4,(1-2)?BFSS",O,CLE,Jason?Kipnis,Jon?Lester,3%,92%,Strikeout Swinging
98,t8,6-3,0.0,---,"4,(0-2)?.CCFS",O,CHC,Anthony?Rizzo,Cody?Allen,-1%,91%,Strikeout Swinging (C-1B)
99,t8,6-3,1.0,---,"4,(1-2)?FSBX",O,CHC,Ben?Zobrist,Cody?Allen,-1%,91%,Groundout: 1B unassisted
